Hall,Location,SSID,Frequency (MHz),RSSI (dBm),Channel,Length (ft),Width (ft),Area (sq ft),Floors,Notes
Kiewit,A310,eduroam,5200,-63,40,126.38,245.73,31055,6,No class empty
Kiewit,A310,NU-Guest,5745,-59,149,126.38,245.73,31055,6,
Kiewit,Lobby,eduroam,5784,-51,157,126.38,245.73,31055,6,Not many people
Kiewit,Lobby,NU-Guest,5785,-54,157,126.38,245.73,31055,6,
Kauffman,Stairwell,eduroam,5220,-82,44,194.24,201.42,39116,4,Phone hanging over center gap
Kauffman,Stairwell,eduroam,2437,-75,6,194.24,201.42,39116,4,
Kauffman,Stairwell,NU-Guest,5220,-85,44,194.24,201.42,39116,4,
Kauffman,Stairwell,NU-Guest,2412,-76,1,194.24,201.42,39116,4,
Kauffman,Chemistry Resource Center,eduroam,5805,-73,161,194.24,201.42,39116,4,5 feet away from stairwell
Kauffman,Chemistry Resource Center,eduroam,2412,-55,1,194.24,201.42,39116,4,
Kauffman,Chemistry Resource Center,NU-Guest,5805,-73,161,194.24,201.42,39116,4,
Kauffman,Chemistry Resource Center,NU-Guest,2412,-76,1,194.24,201.42,39116,4,
Adele Coryell,Schmoker Learning Commons,eduroam,5260,-59,52,128.03,252.56,32333,1,Somewhat busy
Adele Coryell,Schmoker Learning Commons,NU-Guest,5260,-55,52,128.03,252.56,32333,1,Somewhat busy
Love Library South,Lobby,eduroam,5745,-50,149,207.66,151.56,31477,3,Barely anyone
Love Library South,Lobby,NU-Guest,5745,-47,149,207.66,151.56,31477,3,Barely anyone
Selleck,Dining Hall,eduroam,5745,-61,149,388.06,207.22,80396,1,Somewhat busy
Selleck,Dining Hall,NU-Guest,5745,-62,149,388.06,207.22,80396,1,Somewhat busy
Brace,210,eduroam,5765,-53,153,220.32,123.03,27101,3,Between classes
Brace,210,NU-Guest,5765,-50,153,220.32,123.03,27101,3,Everyone probably on phones before lecture
